ID,Title,Description,Views,Pages,Uploader,Upload Date,Thumbnail URL
417435701,RPP Matematika MI,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas pelajaran Matematika tentang Bangun Datar untuk siswa kelas IV semester 2. RPP ini menjelaskan kompetensi dasar, tujuan pembelajaran, materi pokok, pendekatan dan metode pembelajaran, media yang digunakan, kegiatan pembelajaran yang terdiri dari pendahuluan, inti, dan penutup, serta penugasan dan penilaian.",0,3,Nurfadila tania,"July 15, 2019",https://imgv2-2-f.scribdassets.com/img/document/417435701/298x396/c9d67f4723/0?v=1
587669520,RPP Matematika,"Dokumen ini berisi rencana pelaksanaan pembelajaran (RPP) untuk mata pelajaran matematika tentang operasi hitung bilangan bulat di kelas VI SD. RPP ini menjelaskan kompetensi dasar, tujuan, materi, model pembelajaran, dan langkah-langkah pembelajaran yang mencakup kegiatan pendahuluan, inti, dan penutup. Metode pembelajaran yang digunakan adalah drill, tanya jawab, ceramah dan demostrasi.",0,5,Daniel Sintu,"August 18, 2022",https://imgv2-2-f.scribdassets.com/img/document/587669520/298x396/c50c9d0e94/0?v=1
795619400,RPP Matematika,RPP Matematika,0,10,suandie86,"November 22, 2024",https://imgv2-1-f.scribdassets.com/img/document/795619400/298x396/fd3cb68bea/0?v=1
772451696,RPP MATEMATIKA,CONTOH RPP MATEMATIKA,0,9,wulanwidasari55,"September 24, 2024",https://imgv2-2-f.scribdassets.com/img/document/772451696/298x396/ee0b6e86ff/0?v=1
791633034,RPP Matematika,RPP Matematika,0,29,idarayonsimanjuntak8,"November 13, 2024",https://imgv2-1-f.scribdassets.com/img/document/791633034/298x396/65758a9097/0?v=1
750961536,1.1 RPP NILAI MUTLAK,RPP Nilai Mutlak K13,0,3,istiana.matematika,"July 16, 2024",https://imgv2-1-f.scribdassets.com/img/document/750961536/298x396/bced0afd58/0?v=1
637468883,RPP Matematika,"Modul ini membahas pelajaran matematika tentang penjumlahan bersusun untuk siswa kelas 2 SD dan mencakup penjelasan tentang pengertian, contoh soal, dan penilaian siswa dalam memahami konsep penjumlahan bersusun.""",22,22,Diana Romadhona,"April 11, 2023",https://imgv2-1-f.scribdassets.com/img/document/637468883/298x396/f43964b341/0?v=1
636371724,RPP Matematika,"Dokumen ini berisi rencana pelaksanaan pembelajaran (RPP) mata pelajaran matematika untuk kelas 6 semester 1 tentang materi bilangan bulat negatif. RPP ini mencakup tujuan pembelajaran, materi, pendekatan, metode, sumber belajar, dan kegiatan pembelajaran yang terdiri dari pendahuluan, inti, dan penutup.",0,4,Jodi Triyadi,"April 5, 2023",https://imgv2-2-f.scribdassets.com/img/document/636371724/298x396/0bbdd747a0/0?v=1
685319493,RPP Matematika,"Rencana pelaksanaan pembelajaran (RPP) ini membahas tentang materi operasi hitung bilangan cacah pada pelajaran matematika kelas 3 semester 1. RPP ini menjelaskan kompetensi dasar, tujuan pembelajaran, materi, strategi pembelajaran interaktif berbasis masalah, dan penilaian siswa melalui penugasan kelompok dan tes afektif.",22,8,Halida Salafia,"November 18, 2023",https://imgv2-2-f.scribdassets.com/img/document/685319493/298x396/d36686186c/0?v=1
499227005,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran matematika kelas 4 tentang sub materi persen. RPP ini berisi tentang kompetensi dasar dan indikator, tujuan pembelajaran, materi ajar, metode dan pendekatan pembelajaran, kegiatan pembelajaran, sumber belajar dan penilaian hasil belajar siswa.",95,10,Vina Arumiyani,"March 18, 2021",https://imgv2-2-f.scribdassets.com/img/document/499227005/298x396/80977c0827/0?v=1
450391103,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran Matematika kelas VIII ini membahas tentang sistem persamaan linear dua variabel dan penyelesaiannya dengan berbagai metode, serta penggunaannya dalam menyelesaikan masalah-masalah sehari-hari. RPP ini merencanakan pembelajaran selama 3 pertemuan dengan materi, metode pembelajaran, dan penilaian yang telah ditetapkan.",164,20,Fauziah Nur,"March 6, 2020",https://imgv2-2-f.scribdassets.com/img/document/450391103/298x396/8ec8589271/0?v=1
559642766,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas pelajaran matematika untuk siswa kelas 5 tentang operasi hitung bilangan bulat. Materi yang diajarkan meliputi sifat-sifat operasi hitung, pembulatan bilangan, dan penaksiran hasil operasi. Pembelajaran dilaksanakan selama 3 pertemuan dengan kegiatan penjelasan guru, diskusi, dan latihan soal mandiri siswa. Penilaian dilakukan dengan tes tertulis pada setiap a",21,97,Indah Nuraini,"February 18, 2022",https://imgv2-2-f.scribdassets.com/img/document/559642766/298x396/02f0c58de8/0?v=1
83917244,RPP Matematika Sma,"Rencana pelaksanaan pembelajaran mata pelajaran matematika kelas X semester ganjil SMA Negeri 2 Wonogiri membahas tentang pangkat, akar, dan logaritma. Materi pembelajaran meliputi sifat-sifat bilangan berpangkat, notasi ilmiah, bilangan rasional dan irrasional, operasi aljabar pada akar, dan logaritma. Metode pembelajaran menggunakan ceramah, tanya jawab, dan diskusi kelompok.",939,722,,"March 5, 2012",https://imgv2-2-f.scribdassets.com/img/document/83917244/298x396/985c277a48/0?v=1
642447514,RPP Matematika,"Rencana pelaksanaan pembelajaran (RPP) ini menjelaskan rencana pembelajaran mata pelajaran matematika tentang invers fungsi untuk siswa kelas 11. RPP ini menerapkan pendekatan berdiferensiasi berdasarkan kesiapan belajar siswa dengan memberikan konten, proses, dan produk belajar yang berbeda-beda. Pembelajaran akan dilaksanakan dengan strategi ""BAHAGIA"" yang terdiri atas tahap baca, bahasakan",220,14,Mim Jaz ID,"May 3, 2023",https://imgv2-2-f.scribdassets.com/img/document/642447514/298x396/45dcb31732/0?v=1
596709640,RPP Matematika,"Rencana pelaksanaan pembelajaran (RPP) ini membahas pelajaran matematika tentang bilangan bulat untuk siswa kelas VI. RPP ini menjelaskan kompetensi dasar, indikator pencapaian, materi pelajaran, metode pembelajaran, dan penilaian siswa. Metode pembelajaran yang digunakan adalah pengamatan, diskusi kelompok, dan presentasi hasil diskusi. Penilaian dilakukan untuk sikap, pengetahuan dan keterampilan siswa.",0,7,Abdul Aziz,"September 26, 2022",https://imgv2-2-f.scribdassets.com/img/document/596709640/298x396/b2b2143e25/0?v=1
410449399,RPP Induksi Matematika,RPP ini merangkum rencana pelaksanaan pembelajaran mata pelajaran matematika untuk kelas XI semester 1. Pembelajaran akan membahas induksi matematika dengan sub materi notasi sigma dan pembuktian dengan induksi matematika dalam 6 pertemuan menggunakan model pembelajaran problem based learning dan cooperative learning. Tujuannya agar siswa dapat memahami dan menerapkan induksi matematika untuk membuktikan berbagai pernyataan matematis.,244,26,Annisaul Lailim Mukminah,"May 17, 2019",https://imgv2-2-f.scribdassets.com/img/document/410449399/298x396/4fbff5722d/0?v=1
677636192,RPP Matematika,RPP ini merangkum rencana pelaksanaan pembelajaran mata pelajaran Matematika tentang Logika Matematika khususnya Pernyataan Majemuk untuk siswa kelas XI. Materi akan disampaikan melalui pendekatan problem based learning dengan metode diskusi dan penugasan serta presentasi selama 2 pertemuan. Tujuannya agar siswa dapat menganalisis dan menentukan tabel kebenaran pernyataan majemuk serta menyelesaikan masalah terkaitnya.,17,11,Febriana Shinta,"October 15, 2023",https://imgv2-2-f.scribdassets.com/img/document/677636192/298x396/658e06436f/0?v=1
631590844,New RPP - Matematika,"[Ringkasan]
1. RPP ini membahas pelaksanaan pembelajaran mata pelajaran matematika tentang Sistem Persamaan Linear Dua Variabel (SPLDV) untuk siswa kelas VIII SMP Negeri 3 Klaten. 
2. Pembelajaran dilaksanakan dengan metode ceramah, diskusi, dan tugas menggunakan pendekatan saintifik dan kontekstual. 
3. RPP ini mencakup tujuan, materi, kegiatan pembelajaran, dan penilaian hasil pembelajaran.",12,4,Irpan Simangunsong,"March 16, 2023",https://imgv2-2-f.scribdassets.com/img/document/631590844/298x396/c7694672dc/0?v=1
659687967,RPP Matematika Khoerussolihin,"Rangkuman dokumen RPP Statistika Kelas 6 Matematika:
Dokumen ini berisi rencana pelaksanaan pembelajaran (RPP) mata pelajaran matematika tentang statistika di kelas 6. RPP ini memuat tujuan pembelajaran mengenai modus, median, dan mean, serta kegiatan pembelajaran yang meliputi pendahuluan, inti, dan penutup dengan menggunakan metode diskusi, tanya jawab, dan penugasan.",0,25,khoerussolihin,"July 18, 2023",https://imgv2-1-f.scribdassets.com/img/document/659687967/298x396/85e03f1adb/0?v=1
709118023,"RPP Matematika, Observasi","Rencana Pelaksanaan Pembelajaran (RPP) ini membahas tentang pembelajaran bangun ruang di kelas VI SDN Sumbergedang II. Pembelajaran ini akan membandingkan dan mengidentifikasi prisma, limas, tabung, kerucut, dan bola melalui diskusi, pengamatan, dan penugasan siswa.",0,27,tasmi21,"February 28, 2024",https://imgv2-1-f.scribdassets.com/img/document/709118023/298x396/f05c6160ba/0?v=1
708957187,RPP Matematika,"1. RPP ini membahas pelajaran matematika tentang lingkaran untuk siswa kelas 6 SDN 13 Way Serdang. 
2. Materi yang diajarkan adalah mengenai pengertian lingkaran, jari-jari, diameter, keliling, dan luas lingkaran. 
3. Pembelajaran dilakukan dengan model Problem Based Learning dan pendekatan saintifik melalui diskusi kelompok dan presentasi hasil.",8,6,Dutta Dharma,"February 27, 2024",https://imgv2-2-f.scribdassets.com/img/document/708957187/298x396/11f2e0d399/0?v=1
434353646,RPP Matematika 5,"Rencana pelaksanaan pembelajaran (RPP) ini membahas tentang pelajaran matematika kelas 5 tentang operasi hitung bilangan bulat, termasuk penggunaan sifat-sifatnya, pembulatan, penaksiran, dan menentukan faktor prima, FPB, serta KPK. RPP ini menjelaskan tujuan, materi, metode, dan langkah-langkah pembelajaran selama 5 pertemuan.",65,126,pety novita,"November 11, 2019",https://imgv2-2-f.scribdassets.com/img/document/434353646/298x396/eb87f9cc6b/0?v=1
855988351,RPP matematika,"Dokumen ini adalah Rencana Pelaksanaan Pembelajaran (RPP) untuk mata pelajaran Matematika di SDN. 075041 Dahana, kelas 2. Tujuan pembelajaran mencakup pengenalan bangun datar dan ruang, serta kemampuan siswa dalam mengurai dan menyusun bangun datar. Metode pembelajaran meliputi ceramah, latihan, dan tanya jawab, dengan penilaian dilakukan melalui observasi dan rangkuman hasil belajar.",8,2,septylafau,"May 1, 2025",https://imgv2-2-f.scribdassets.com/img/document/855988351/298x396/ddf2ba9208/0?v=1
586726707,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran matematika untuk kelas 4 semester 1 membahas tentang pengukuran sudut pada bangun datar menggunakan busur derajat. Materi akan disampaikan melalui pendekatan saintifik dan strategi cooperative learning. Peserta didik akan melakukan kegiatan mengamati, menanya, mencoba, menalar, dan mengkomunikasikan untuk memahami cara mengukur sudut dengan alat ukur busur derajat. Penilaian dil",22,5,indah virginia,"August 12, 2022",https://imgv2-2-f.scribdassets.com/img/document/586726707/298x396/8001a2f32f/0?v=1
510385902,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran matematika kelas 4 tentang bangun datar ini bertujuan agar siswa dapat memahami pengertian, jenis, sifat, dan rumus bangun datar persegi, persegi panjang, dan segitiga melalui penjelasan guru, diskusi, dan pengamatan. Kegiatan pembelajaran meliputi penjelasan guru, diskusi siswa, dan presentasi hasil diskusi. Penilaian pembelajaran dilakukan melal",0,1,Serli Pratiwi,"June 3, 2021",https://imgv2-2-f.scribdassets.com/img/document/510385902/298x396/9d21ccffe7/0?v=1
433409767,RPP Matematika,Rencana pelaksanaan pembelajaran (RPP) ini membahas operasi perkalian bilangan cacah dan bilangan bulat untuk siswa kelas VI semester ganjil. Materi akan disampaikan melalui diskusi kelompok dan penyelesaian soal untuk meningkatkan pemahaman siswa tentang konsep bilangan dan operasi matematika dalam kehidupan sehari-hari. Penilaian dilakukan dengan mengamati sikap siswa dan mengevaluasi kemampuan menyelesaikan soal operasi per,222,10,Dewi Mustika,"November 4, 2019",https://imgv2-2-f.scribdassets.com/img/document/433409767/298x396/d587bb3a61/0?v=1
440634334,RPP MAtematika,"1. Rencana pelaksanaan pembelajaran (RPP) ini membahas tentang perkalian bilangan bulat negatif untuk kelas VI semester 1 di SDN Kalongan.
2. Pembelajaran akan menggunakan model problem based learning dan pendekatan saintifik untuk membantu peserta didik memecahkan masalah matematika tentang perkalian bilangan bulat dalam kehidupan sehari-hari.
3. Materi akan disampaikan secara berkelompok dan interaktif dengan menggunakan lembar",55,17,Ellang Adi nugroho,"December 22, 2019",https://imgv2-1-f.scribdassets.com/img/document/440634334/298x396/2bc267571d/0?v=1
577498238,RPP Matematika,"RPP ini membahas pelaksanaan pembelajaran matematika kelas IV semester 1 tentang operasi hitung perkalian dan pembagian. Materi ajar meliputi operasi perkalian bilangan satu angka dengan dua angka, tiga angka, perkalian bilangan sepuluh secara berulang, dan kelipatan sepuluh serta pembagian tanpa sisa dan bersisa. Metode pembelajaran menggunakan percobaan, tanya jawab, dan latihan selama 8 pertemuan.",54,3,Arpan Arpan,"June 8, 2022",https://imgv2-1-f.scribdassets.com/img/document/577498238/298x396/40caf65cbf/0?v=1
544771340,RPP Matematika,"Rencana pelaksanaan pembelajaran (RPP) ini membahas pelajaran matematika tentang pengukuran waktu untuk siswa kelas 3 SD Katolik St. Agustinus. Materi akan diajarkan dalam 1 jam pelajaran dengan menggunakan metode ceramah dan diskusi serta sumber belajar seperti buku dan alat visual. Guru akan menilai pengetahuan, keterampilan, dan sikap siswa terkait materi ini.",39,22,Melina Salmon,"December 5, 2021",https://imgv2-2-f.scribdassets.com/img/document/544771340/298x396/1d0f0eeadb/0?v=1
225755942,RPP Matematika,contoh RPP Matematika trigonometri kelas 11 IPA,311,20,Putri Istiqomah,"May 23, 2014",https://imgv2-1-f.scribdassets.com/img/document/225755942/298x396/2d89dc8640/0?v=1
419298255,RPP Matematika SMP,"1. Rencana pelaksanaan pembelajaran mata pelajaran matematika statistika untuk kelas VIII selama 4 pertemuan.
2. Materi pembelajaran meliputi penyajian data menggunakan diagram batang, garis, dan lingkaran dengan komputer. 
3. Kegiatan pembelajaran pertemuan pertama meliputi observasi contoh diagram, mencari tahu cara pembuatan diagram dengan komputer, dan presentasi hasil karya.",0,6,IDA,"July 22, 2019",https://imgv2-1-f.scribdassets.com/img/document/419298255/298x396/8aa47bdf9d/0?v=1
744029718,RPP Matematika,RPP Matematika sifat-sifat bangun ruang kelas 6 semester 2,0,6,arifatussholekhah45,"June 21, 2024",https://imgv2-2-f.scribdassets.com/img/document/744029718/298x396/e2819beb06/0?v=1
484507566,RPP Matematika,"Rencana pelaksanaan pembelajaran mata pelajaran matematika untuk kelas IV semester 1 membahas bilangan prima. Materi tersebut akan dipelajari melalui kegiatan mengamati, menanya, mencoba, menalar, dan mengomunikasikan. Guru akan menilai siswa berdasarkan partisipasi, pengetahuan tentang sifat bilangan prima, dan kemampuan memberikan contoh bilangan prima.",59,9,Endy Astrawan,"November 16, 2020",https://imgv2-2-f.scribdassets.com/img/document/484507566/298x396/8a1dc4bb07/0?v=1
364963386,RPP Matematika Keuangan,"Rencana pelaksanaan pembelajaran ini membahas tentang materi matematika keuangan yaitu bunga tunggal dan diskonto untuk siswa kelas XII. Materi akan disampaikan melalui penjelasan konsep, demonstrasi soal, latihan terbimbing, kuis, dan penugasan. Tujuannya agar siswa dapat memahami dan menyelesaikan masalah terkait bunga tunggal dan diskonto.",73,14,,"November 20, 2017",https://imgv2-2-f.scribdassets.com/img/document/364963386/298x396/7ba46f0247/0?v=1
